content_hash_id,client_hash_id,model_score,confidence,suggested_action,reason_codes,impressions_feature_window,avg_position_feature_window,ctr_feature_window,days_with_any_row,is_declining
content_ebe8de02321e48e7,client_2094c6eb080311d5,0.7013154764690848,low,monitor,['model_decline_risk'],12.0,5.125,0.08333333333333333,59,0
content_a03376db17dd976a,client_f623b01661d4bfe4,0.7009460858535469,low,monitor,['model_decline_risk'],16.0,7.80952380952381,0.125,59,1
content_60a9095e1ca78d72,client_f623b01661d4bfe4,0.7005880628404382,low,monitor,['model_decline_risk'],13.0,10.090909090909092,0.15384615384615385,59,1
content_5eea911094386204,client_f623b01661d4bfe4,0.700380904120027,low,monitor,['model_decline_risk'],18.0,6.883333333333335,0.1111111111111111,59,1
content_3b6cebbd3787b91c,client_f623b01661d4bfe4,0.7000442443430933,low,monitor,['model_decline_risk'],11.0,5.958333333333334,0.09090909090909091,59,1
content_2993e350464f10ee,client_f623b01661d4bfe4,0.6987005821680222,low,monitor,['model_decline_risk'],5.0,3.1666666666666665,0.2,45,1
content_0f030bc89e96d441,client_73cda7b4e4f265ea,0.6986944125849953,low,monitor,['model_decline_risk'],8.0,0.0,0.0,59,1
content_6e68dcaa3a629e49,client_73cda7b4e4f265ea,0.6986940579812526,low,monitor,['model_decline_risk'],6.0,0.0,0.0,59,0
content_fbe27eaed57a6729,client_73cda7b4e4f265ea,0.6986933487730549,low,monitor,['model_decline_risk'],2.0,0.0,0.0,59,0
content_ac899d2007985ddb,client_73cda7b4e4f265ea,0.6986933487730549,low,monitor,['model_decline_risk'],2.0,0.0,0.0,59,0
content_31b6478968892721,client_73cda7b4e4f265ea,0.6986931714708571,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,0
content_00f527cc35cc1d96,client_9958f0a7ae1df715,0.6986931714708571,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,0
content_92bfc4d34c4ab2ce,client_0e1acc6cd57b0eba,0.6986931714708571,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,1
content_a5b995e416eae1b7,client_73cda7b4e4f265ea,0.6986194337030777,low,monitor,['model_decline_risk'],34.0,0.0,0.0,59,1
content_54cdf76e59858be5,client_73cda7b4e4f265ea,0.6986169511206424,low,monitor,['model_decline_risk'],20.0,0.0,0.0,59,1
content_73682e27b47aa740,client_73cda7b4e4f265ea,0.6986164191371791,low,monitor,['model_decline_risk'],17.0,0.0,0.0,59,0
content_767ff156ceac98a0,client_73cda7b4e4f265ea,0.6986157098250644,low,monitor,['model_decline_risk'],13.0,0.0,0.0,59,0
content_8eb75774993ebe91,client_73cda7b4e4f265ea,0.6986151778403552,low,monitor,['model_decline_risk'],10.0,0.0,0.0,59,0
content_bc81fc68cb536532,client_73cda7b4e4f265ea,0.6986148231835859,low,monitor,['model_decline_risk'],8.0,0.0,0.0,59,0
content_d6d44bcc63a1e975,client_73cda7b4e4f265ea,0.6986148231835859,low,monitor,['model_decline_risk'],8.0,0.0,0.0,59,0
content_0539a3fac338a96f,client_73cda7b4e4f265ea,0.6986146458551122,low,monitor,['model_decline_risk'],7.0,0.0,0.0,59,1
content_c1a81a617a711690,client_73cda7b4e4f265ea,0.6986146458551122,low,monitor,['model_decline_risk'],7.0,0.0,0.0,59,1
content_88c17b5680e48fab,client_73cda7b4e4f265ea,0.6986146458551122,low,monitor,['model_decline_risk'],7.0,0.0,0.0,59,0
content_3cca56e4911d8600,client_73cda7b4e4f265ea,0.6986144685265793,low,monitor,['model_decline_risk'],6.0,0.0,0.0,59,0
content_20049552c1f3c836,client_73cda7b4e4f265ea,0.6986144685265793,low,monitor,['model_decline_risk'],6.0,0.0,0.0,59,0
content_8e3cfb0ff6a0a426,client_f623b01661d4bfe4,0.6986144685265793,low,monitor,['model_decline_risk'],6.0,0.0,0.0,59,0
